iter	RMSE
0	0.9907264303
1	0.9721869776
2	0.9544379777
3	0.937394237
4	0.9211889299
5	0.9056056852
6	0.8907393264
7	0.8762822612
8	0.8625927194
9	0.8496445024
10	0.837170595
11	0.8252165459
12	0.8138188358
13	0.8028820405
14	0.7923410597
15	0.7824447994
16	0.7728478646
17	0.7639030952
18	0.7551886235
19	0.7469101333
20	0.7391272834
21	0.7316350679
22	0.7245629527
23	0.7178791479
24	0.7114676477
25	0.7052951943
26	0.6994744043
27	0.6940654915
28	0.6887952664
29	0.6837456929
30	0.6790405548
31	0.6745739151
32	0.6703405576
33	0.6662480627
34	0.6623588434
35	0.6586937666
36	0.6552462461
37	0.6519393579
38	0.6487618352
39	0.6457785509
40	0.6430223446
41	0.6404142582
42	0.6379136989
43	0.6354957461
44	0.6332341579
45	0.6311136692
46	0.6290970137
47	0.6271320812
48	0.6252950894
49	0.6235895188
50	0.6219766464
51	0.6204277255
52	0.6189526711
53	0.6175297001
54	0.6162133018
55	0.6149273413
56	0.6137330929
57	0.6126254524
58	0.611590908
59	0.6105723779
60	0.609641661
61	0.6087291745
62	0.6078433123
63	0.6070200419
64	0.6062543513
65	0.6054854709
66	0.6048063502
67	0.6041643329
68	0.6035165592
69	0.6029447586
70	0.6023502125
71	0.6018612343
72	0.6013434359
73	0.6008895459
74	0.6004330908
75	0.5999852012
76	0.5995470818
77	0.5991681436
78	0.5987724742
79	0.5983892262
80	0.598035996
81	0.597714996
82	0.5974112316
83	0.597109492
84	0.5968013882
85	0.5965187726
86	0.5962322265
87	0.5959881494
88	0.5957223484
89	0.5954621403
90	0.5952359357
91	0.5950281521
92	0.5948027384
93	0.5945638865
94	0.59436251
95	0.5941715191
96	0.5939900034
97	0.5938112314
98	0.5935930563
99	0.5934472791
100	0.5932758272
101	0.5931173979
102	0.592973809
103	0.5928117757
104	0.5926674116
105	0.5925036519
106	0.5923706399
107	0.5922448178
108	0.5921180085
109	0.5919691895
110	0.5918385333
111	0.5917124132
112	0.5916054349
113	0.5914534731
114	0.5913344647
115	0.5911661366
116	0.5910267918
117	0.590884342
118	0.5907343607
119	0.5906399805
120	0.5905473999
121	0.5904278569
122	0.5903137731
123	0.5901917925
124	0.5901008651
125	0.5900068839
126	0.5899086056
127	0.5897990567
128	0.5897184346
129	0.5895999662
130	0.5895007111
131	0.5894283599
132	0.5892966579
133	0.5891848236
134	0.5891089995
135	0.5889920981
136	0.5888993699
137	0.5887926605
138	0.5887073125
139	0.5885838843
140	0.5884946037
141	0.5883736586
142	0.5882758324
143	0.5881721334
144	0.5881168372
145	0.5880494111
146	0.5879676006
147	0.5878835465
148	0.5877845225
149	0.587710211
150	0.5875633279
151	0.5874357873
152	0.5873120732
153	0.5872091166
154	0.5871028077
155	0.5870335514
156	0.586972652
157	0.5868482067
158	0.5867714284
159	0.5866722539
160	0.5866012317
