iter	Passed	Remaining
0	22	34407
1	44	33402
2	67	33760
3	89	33549
4	108	32499
5	128	32111
6	148	31642
7	166	31098
8	185	30721
9	203	30329
10	221	29936
11	242	30077
12	260	29831
13	280	29747
14	297	29484
15	315	29283
16	333	29086
17	358	29556
18	378	29541
19	397	29402
20	416	29315
21	437	29393
22	457	29380
23	475	29238
24	493	29114
25	511	28986
26	529	28911
27	548	28847
28	566	28747
29	589	28861
30	608	28836
31	627	28803
32	648	28827
33	671	28951
34	697	29175
35	722	29396
36	741	29312
37	761	29278
38	780	29241
39	800	29232
40	821	29234
41	849	29502
42	877	29734
43	903	29892
44	929	30045
45	961	30382
46	993	30715
47	1020	30874
48	1049	31071
49	1077	31250
50	1105	31400
51	1134	31591
52	1163	31778
53	1188	31826
54	1215	31945
55	1240	31995
56	1267	32076
57	1295	32197
58	1323	32316
59	1347	32339
60	1373	32405
61	1401	32503
62	1426	32530
63	1450	32537
64	1476	32589
65	1501	32625
66	1527	32673
67	1552	32688
68	1581	32790
69	1611	32913
70	1639	33002
71	1670	33130
72	1696	33166
73	1726	33267
74	1751	33270
75	1774	33239
76	1798	33230
77	1823	33236
78	1850	33292
79	1876	33306
80	1905	33379
81	1933	33442
82	1957	33417
83	1984	33448
84	2008	33436
85	2033	33433
86	2055	33381
87	2083	33433
88	2111	33469
89	2135	33459
90	2159	33437
91	2184	33428
92	2211	33452
93	2233	33408
94	2256	33372
95	2279	33331
96	2302	33301
97	2328	33311
98	2352	33295
99	2377	33288
100	2402	33271
101	2427	33265
102	2448	33207
103	2469	33147
104	2490	33082
105	2515	33076
106	2541	33081
107	2563	33041
108	2585	32996
109	2606	32937
110	2629	32909
111	2653	32884
112	2677	32859
113	2711	32965
114	2742	33027
115	2767	33013
116	2794	33028
117	2820	33038
118	2842	32992
119	2863	32929
120	2884	32876
121	2906	32830
122	2927	32774
123	2951	32753
124	2976	32739
125	3000	32721
126	3026	32716
127	3056	32766
128	3078	32714
129	3104	32714
130	3131	32726
131	3156	32711
132	3182	32709
133	3205	32676
134	3228	32640
135	3251	32608
136	3273	32568
137	3295	32523
138	3318	32492
139	3342	32470
140	3364	32425
141	3386	32382
142	3404	32309
143	3426	32269
144	3447	32218
145	3471	32194
146	3498	32196
147	3520	32161
148	3543	32128
149	3563	32069
150	3585	32029
151	3607	31992
152	3630	31963
153	3651	31918
154	3676	31904
155	3707	31944
156	3740	31999
157	3772	32042
158	3792	31985
159	3812	31927
160	3835	31899
161	3854	31839
162	3877	31804
163	3898	31757
164	3916	31688
165	3937	31642
166	3958	31599
167	3981	31564
168	4001	31511
169	4020	31456
170	4039	31397
171	4059	31345
172	4079	31292
173	4101	31255
174	4119	31192
175	4140	31145
176	4158	31083
177	4177	31029
178	4199	30988
179	4217	30925
180	4238	30888
181	4259	30842
182	4279	30797
183	4300	30754
184	4320	30711
185	4341	30673
186	4362	30629
187	4385	30603
188	4403	30546
189	4421	30488
190	4441	30438
191	4461	30392
192	4483	30360
193	4502	30311
194	4522	30267
195	4544	30237
196	4563	30182
197	4582	30134
198	4600	30077
199	4620	30034
200	4638	29980
201	4659	29942
202	4679	29901
203	4702	29874
204	4726	29858
205	4748	29826
206	4771	29804
207	4794	29782
208	4818	29764
209	4837	29718
210	4856	29669
211	4880	29651
212	4900	29613
213	4920	29566
214	4939	29522
215	4959	29484
216	4981	29452
217	5003	29424
218	5043	29502
219	5063	29461
220	5082	29414
221	5102	29372
222	5122	29331
223	5140	29284
224	5162	29255
225	5182	29214
226	5200	29164
227	5220	29126
228	5242	29095
229	5262	29058
230	5286	29043
231	5305	28997
232	5328	28975
233	5350	28948
234	5373	28925
235	5394	28891
236	5413	28848
237	5433	28813
238	5451	28763
239	5469	28712
240	5494	28704
241	5515	28671
242	5535	28636
243	5558	28611
244	5578	28577
245	5597	28534
246	5618	28502
247	5640	28476
248	5661	28443
249	5682	28410
250	5700	28366
251	5722	28338
252	5746	28323
253	5766	28288
254	5787	28256
255	5807	28220
256	5827	28184
257	5846	28144
258	5866	28111
259	5887	28078
260	5906	28036
261	5925	27998
262	5949	27982
263	5978	27989
264	6000	27964
265	6024	27948
266	6047	27926
267	6067	27894
268	6091	27875
269	6110	27837
270	6129	27797
271	6148	27759
272	6167	27717
273	6185	27675
274	6206	27648
275	6229	27625
276	6254	27613
277	6275	27585
278	6295	27550
279	6314	27512
280	6333	27474
281	6353	27442
282	6371	27401
283	6392	27370
284	6412	27335
285	6431	27299
286	6450	27262
287	6468	27222
288	6488	27187
289	6509	27159
290	6531	27135
291	6551	27103
292	6577	27095
293	6600	27075
294	6623	27056
295	6646	27037
296	6668	27011
297	6693	26999
298	6711	26959
299	6730	26921
300	6751	26894
301	6776	26880
302	6803	26877
303	6824	26850
304	6846	26824
305	6866	26792
306	6888	26768
307	6908	26738
308	6929	26709
309	6949	26677
310	6969	26643
311	6987	26605
312	7007	26573
313	7027	26543
314	7048	26517
315	7069	26486
316	7088	26451
317	7107	26418
318	7124	26377
319	7143	26343
320	7165	26316
321	7184	26284
322	7213	26286
323	7232	26252
324	7254	26228
325	7275	26200
326	7297	26178
327	7315	26140
328	7336	26111
329	7371	26133
330	7392	26107
331	7411	26074
332	7432	26046
333	7454	26022
334	7481	26016
335	7500	25985
336	7520	25952
337	7539	25919
338	7557	25883
339	7578	25856
340	7598	25826
341	7620	25801
342	7639	25769
343	7656	25729
344	7675	25696
345	7699	25678
346	7720	25651
347	7741	25626
348	7765	25610
349	7787	25587
350	7808	25560
351	7829	25534
352	7848	25503
353	7866	25466
354	7887	25439
355	7906	25406
356	7927	25381
357	7952	25368
358	7972	25338
359	7993	25314
360	8012	25281
361	8031	25247
362	8051	25218
363	8072	25192
364	8095	25174
365	8117	25151
366	8137	25121
367	8155	25088
368	8183	25082
369	8203	25053
370	8227	25036
371	8249	25014
372	8269	24984
373	8292	24965
374	8313	24939
375	8334	24914
376	8355	24889
377	8376	24862
378	8397	24837
379	8416	24805
380	8434	24771
381	8454	24743
382	8475	24719
383	8497	24695
384	8516	24665
385	8535	24634
386	8556	24609
387	8575	24577
388	8602	24568
389	8626	24552
390	8646	24524
391	8665	24492
392	8685	24465
393	8709	24447
394	8730	24422
395	8753	24404
396	8775	24382
397	8800	24367
398	8825	24351
399	8848	24333
400	8871	24313
401	8893	24291
402	8912	24260
403	8937	24245
404	8959	24222
405	8978	24194
406	9000	24170
407	9021	24146
408	9044	24124
409	9066	24102
410	9091	24089
411	9111	24061
412	9138	24050
413	9158	24023
414	9176	23991
415	9197	23965
416	9217	23938
417	9236	23907
418	9254	23877
419	9280	23865
420	9305	23848
421	9327	23826
422	9348	23803
423	9369	23778
424	9389	23750
425	9412	23730
426	9437	23716
427	9461	23699
428	9485	23681
429	9509	23662
430	9530	23637
431	9551	23613
432	9586	23622
433	9606	23594
434	9624	23563
435	9642	23531
436	9661	23500
437	9683	23479
438	9706	23459
439	9728	23435
440	9750	23413
441	9772	23390
442	9796	23373
443	9816	23347
444	9835	23317
445	9853	23286
446	9872	23255
447	9890	23224
448	9910	23197
449	9931	23173
450	9950	23144
451	9969	23113
452	9987	23083
453	10005	23051
454	10023	23020
455	10043	22993
456	10071	22986
457	10094	22966
458	10116	22943
459	10136	22916
460	10157	22892
461	10175	22861
462	10196	22836
463	10217	22813
464	10235	22781
465	10254	22754
466	10274	22728
467	10294	22701
468	10317	22681
469	10338	22655
470	10358	22631
471	10376	22600
472	10395	22570
473	10415	22545
474	10437	22522
475	10457	22497
476	10481	22479
477	10505	22460
478	10526	22438
479	10552	22423
480	10570	22394
481	10589	22365
482	10608	22337
483	10629	22313
484	10651	22290
485	10677	22277
486	10707	22272
487	10728	22247
488	10752	22229
489	10773	22206
490	10794	22183
491	10814	22156
492	10833	22129
493	10857	22111
494	10881	22092
495	10904	22072
496	10929	22055
497	10951	22034
498	10970	22006
499	10988	21976
500	11008	21951
501	11029	21927
502	11050	21904
503	11069	21875
504	11088	21847
505	11110	21826
506	11131	21802
507	11151	21776
508	11170	21748
509	11189	21720
510	11211	21698
511	11229	21670
512	11248	21642
513	11270	21619
514	11289	21591
515	11309	21567
516	11328	21540
517	11349	21516
518	11373	21498
519	11394	21474
520	11415	21451
521	11434	21424
522	11454	21398
523	11477	21378
524	11499	21356
525	11518	21328
526	11537	21302
527	11559	21280
528	11587	21268
529	11605	21239
530	11624	21213
531	11649	21197
532	11675	21182
533	11702	21169
534	11730	21159
535	11753	21138
536	11775	21116
537	11795	21092
538	11821	21076
539	11840	21049
540	11859	21022
541	11879	20996
542	11898	20969
543	11918	20944
544	11938	20920
545	11959	20896
546	11980	20872
547	11998	20843
548	12017	20816
549	12036	20790
550	12061	20774
551	12083	20751
552	12101	20724
553	12122	20699
554	12143	20676
555	12167	20659
556	12190	20638
557	12210	20613
558	12228	20585
559	12283	20619
560	12313	20611
561	12340	20597
562	12368	20584
563	12388	20560
564	12407	20532
565	12426	20506
566	12448	20483
567	12470	20462
568	12493	20441
569	12513	20416
570	12535	20394
571	12553	20366
572	12577	20347
573	12601	20328
574	12619	20301
575	12641	20278
576	12665	20259
577	12687	20238
578	12711	20219
579	12736	20202
580	12758	20180
581	12780	20158
582	12802	20136
583	12821	20110
584	12844	20090
585	12870	20074
586	12896	20058
587	12919	20039
588	12945	20022
589	12968	20002
590	12991	19981
591	13010	19955
592	13031	19931
593	13056	19913
594	13076	19890
595	13097	19866
596	13119	19843
597	13139	19819
598	13161	19796
599	13179	19768
600	13196	19740
601	13220	19720
602	13242	19698
603	13264	19677
604	13290	19661
605	13316	19644
606	13334	19616
607	13357	19597
608	13379	19574
609	13399	19549
610	13422	19528
611	13441	19502
612	13463	19480
613	13484	19458
614	13504	19433
615	13526	19411
616	13546	19386
617	13565	19360
618	13585	19335
619	13602	19306
620	13620	19279
621	13642	19257
622	13662	19232
623	13682	19208
624	13702	19183
625	13733	19173
626	13761	19160
627	13784	19140
628	13823	19142
629	13844	19119
630	13863	19091
631	13882	19065
632	13903	19043
633	13923	19018
634	13943	18993
635	13963	18969
636	13988	18951
637	14011	18930
638	14040	18918
639	14063	18897
640	14088	18879
641	14113	18862
642	14144	18851
643	14171	18836
644	14197	18820
645	14217	18795
646	14238	18772
647	14259	18748
648	14278	18723
649	14298	18698
650	14318	18673
651	14336	18646
652	14355	18620
653	14376	18596
654	14397	18573
655	14416	18548
656	14436	18523
657	14457	18499
658	14481	18481
659	14502	18458
660	14526	18437
661	14549	18417
662	14572	18397
663	14592	18373
664	14612	18347
665	14631	18322
666	14650	18296
667	14671	18273
668	14693	18251
669	14716	18230
670	14733	18203
671	14757	18183
672	14776	18157
673	14794	18130
674	14816	18108
675	14839	18088
676	14857	18061
677	14875	18035
678	14899	18014
679	14925	17998
680	14946	17975
681	14967	17952
682	14998	17941
683	15031	17932
684	15055	17912
685	15078	17891
686	15102	17872
687	15122	17847
688	15145	17827
689	15169	17807
690	15195	17789
691	15215	17765
692	15236	17742
693	15261	17724
694	15283	17702
695	15307	17682
696	15334	17666
697	15359	17648
698	15380	17625
699	15402	17602
700	15424	17580
701	15445	17557
702	15463	17531
703	15487	17511
704	15518	17499
705	15539	17476
706	15559	17452
707	15581	17430
708	15602	17406
709	15625	17385
710	15651	17368
711	15673	17347
712	15693	17322
713	15712	17296
714	15731	17271
715	15750	17246
716	15769	17220
717	15792	17199
718	15811	17174
719	15831	17150
720	15860	17136
721	15882	17114
722	15903	17090
723	15923	17066
724	15943	17042
725	15962	17018
726	15981	16992
727	16001	16968
728	16020	16943
729	16045	16924
730	16066	16901
731	16086	16878
732	16113	16860
733	16133	16837
734	16154	16813
735	16174	16789
736	16196	16767
737	16220	16748
738	16241	16724
739	16261	16700
740	16280	16676
741	16299	16650
742	16318	16625
743	16336	16600
744	16356	16575
745	16376	16551
746	16394	16526
747	16412	16500
748	16431	16475
749	16450	16450
750	16470	16426
751	16489	16402
752	16511	16380
753	16534	16359
754	16557	16338
755	16580	16317
756	16601	16294
757	16620	16269
758	16639	16245
759	16661	16222
760	16688	16206
761	16710	16183
762	16731	16161
763	16749	16135
764	16766	16108
765	16789	16087
766	16807	16062
767	16826	16037
768	16845	16013
769	16864	15988
770	16882	15963
771	16905	15941
772	16927	15920
773	16950	15899
774	16971	15876
775	16992	15853
